Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
32549;1.827.560,88 €;nd;nd
7223;1.824.050,60 €;nd;nd
56217;1.821.409,17 €;nd;nd
20602;1.802.771,74 €;nd;nd
7899;1.802.666,78 €;nd;nd
MP727;1.788.227,80 €;nd;nd
451536A;1.779.622,97 €;nd;nd
12503;1.776.412,07 €;nd;nd
39509;1.771.543,19 €;nd;nd
56357;1.768.989,97 €;nd;nd
451542;1.766.701,97 €;nd;nd
10508;1.766.552,92 €;nd;nd
GIU032;1.764.314,47 €;nd;nd
56277;1.760.262,29 €;nd;nd
30030;1.747.377,90 €;nd;nd
42521;1.746.125,67 €;nd;nd
7257;1.744.394,09 €;nd;nd
7750;1.740.556,34 €;nd;nd
7509;1.739.267,15 €;nd;nd
35538;1.738.621,59 €;nd;nd
72533;1.737.684,18 €;nd;nd
INT083;1.736.438,82 €;nd;nd
36845;1.730.816,36 €;nd;nd
7564;1.729.824,69 €;nd;nd
7792;1.728.398,42 €;nd;nd
42534;1.718.114,70 €;nd;nd
CON555;1.718.114,70 €;nd;nd
7204;1.707.934,73 €;nd;nd
CSE168;1.701.643,82 €;nd;nd
CSE169;1.701.643,82 €;nd;nd
40116;1.691.530,82 €;nd;nd
36295;1.679.420,46 €;nd;nd
24516;1.679.420,46 €;nd;nd
CSE453R1;1.679.420,46 €;nd;nd
12524;1.677.695,86 €;nd;nd
22075;1.677.127,82 €;nd;nd
11510;1.672.764,38 €;nd;nd
37766;1.670.378,68 €;nd;nd
43051;1.659.194,58 €;nd;nd
7241;1.633.269,12 €;nd;nd
IND011;1.625.824,60 €;nd;nd
7577;1.609.845,92 €;nd;nd
24520;1.604.624,55 €;nd;nd
20533;1.603.812,14 €;nd;nd
GIU051;1.596.012,26 €;nd;nd
32040;1.581.705,84 €;nd;nd
7543;1.580.562,01 €;nd;nd
11558;1.579.242,44 €;nd;nd
33541;1.577.564,95 €;nd;nd
7255;1.577.223,40 €;nd;nd
12526;1.572.472,04 €;nd;nd
27531;1.567.153,46 €;nd;nd
DID806;1.560.992,68 €;nd;nd
520;1.558.912,36 €;nd;nd
21201;1.556.329,20 €;nd;nd
56045;1.554.255,53 €;nd;nd
FLT015;1.540.430,83 €;nd;nd
37568;1.537.357,23 €;nd;nd
12521;1.537.357,23 €;nd;nd
72540;1.537.357,23 €;nd;nd
FLT021;1.530.480,61 €;nd;nd
MP598;1.523.329,28 €;nd;nd
CON037;1.518.710,49 €;nd;nd
27512;1.517.862,79 €;nd;nd
7804;1.507.316,98 €;nd;nd
22520;1.507.146,28 €;nd;nd
11553;1.504.050,63 €;nd;nd
42222;1.502.691,40 €;nd;nd
508;1.501.925,53 €;nd;nd
39512;1.500.877,17 €;nd;nd
56471;1.500.707,45 €;nd;nd
43180;1.497.784,79 €;nd;nd
12507;1.492.093,63 €;nd;nd
51428;1.490.382,20 €;nd;nd
INT854;1.483.875,06 €;nd;nd
CON039;1.476.570,11 €;nd;nd
20813;1.470.592,74 €;nd;nd
7557;1.465.371,39 €;nd;nd
7709;1.457.980,41 €;nd;nd
7550;1.456.966,52 €;nd;nd
33501;1.449.879,09 €;nd;nd
42221;1.448.989,62 €;nd;nd
62167;1.448.626,62 €;nd;nd
353325;1.443.492,87 €;nd;nd
7523;1.443.058,04 €;nd;nd
37504;1.440.820,40 €;nd;nd
37586;1.437.850,09 €;nd;nd
12527;1.437.850,09 €;nd;nd
56080;1.436.412,35 €;nd;nd
56593;1.428.257,50 €;nd;nd
CSE529R0;1.428.257,50 €;nd;nd
32574;1.428.257,50 €;nd;nd
36848;1.428.257,50 €;nd;nd
37584;1.428.257,50 €;nd;nd
36850;1.428.257,50 €;nd;nd
530;1.428.038,28;nd;nd
22048;1.419.632,50 €;nd;nd
7762;1.411.248,71 €;nd;nd
33560;1.405.733,51 €;nd;nd
42192;1.404.992,39 €;nd;nd
24018;1.399.665,08 €;nd;nd
20527;1.399.082,87 €;nd;nd
36817;1.393.258,18 €;nd;nd
72552;1.387.983,66 €;nd;nd
INT855;1.387.983,66 €;nd;nd
43192;1.387.815,20 €;nd;nd
72503;1.379.212,91 €;nd;nd
36646;1.365.098,95 €;nd;nd
36776;1.362.928,43 €;nd;nd
27541;1.362.928,43 €;nd;nd
37540;1.362.928,43 €;nd;nd
453791;1.362.928,43 €;nd;nd
20722;1.362.909,67 €;nd;nd
56477;1.358.040,83 €;nd;nd
453802;1.358.040,83 €;nd;nd
7760;1.356.586,00 €;nd;nd
7552;1.349.974,94 €;nd;nd
CON300;1.348.548,93;nd;nd
37505;1.346.257,15 €;nd;nd
RS0125;1.338.722,13 €;nd;nd
2703;1.331.974,99 €;nd;nd
56453;1.327.922,36 €;nd;nd
337134;1.326.596,54 €;nd;nd
27549;1.319.118,42 €;nd;nd
43571;1.319.118,42 €;nd;nd
35549;1.319.118,42 €;nd;nd
26540;1.319.118,42 €;nd;nd
26539;1.319.118,42 €;nd;nd
39209;1.318.139,27 €;nd;nd
7539;1.317.578,33 €;nd;nd
31527;1.317.341,98 €;nd;nd
59036;1.305.112,14 €;nd;nd
CSE514R1;1.302.087,50;nd;nd
39224;1.302.087,50 €;nd;nd
19027;1.297.913,92 €;nd;nd
20538;1.275.532,96 €;nd;nd
GIU020;1.272.952,03 €;nd;nd
56622;1.249.433,58 €;nd;nd
56621;1.248.233,17 €;nd;nd
56596;1.248.233,17 €;nd;nd
1603;1.248.233,17 €;nd;nd
CSE535R1;1.248.233,17 €;nd;nd
10515;1.245.960,84 €;nd;nd
42194;1.244.140,76 €;nd;nd
7598;1.244.037,76 €;nd;nd
56556;1.236.148,72 €;nd;nd
CND969;1.235.607,17 €;nd;nd
56656;1.234.961,98 €;nd;nd
39019;1.232.478,88 €;nd;nd
40121;1.230.739,64 €;nd;nd
DID822;1.221.837,10 €;nd;nd
32555;1.217.769,55 €;nd;nd
36787;1.217.769,55 €;nd;nd
7913;1.217.014,27 €;nd;nd
33559;1.211.362,93 €;nd;nd
37562;1.211.178,12 €;nd;nd
31526;1.203.600,98 €;nd;nd
37764;1.203.600,98 €;nd;nd
37557;1.203.600,98 €;nd;nd
56558;1.203.600,98 €;nd;nd
24503;1.200.085,10 €;nd;nd
33563;1.196.285,22 €;nd;nd
37556;1.195.110,13 €;nd;nd
21517;1.193.847,46 €;nd;nd
27514;1.192.412,04 €;nd;nd
56574;1.188.708,08 €;nd;nd
56594;1.188.708,08 €;nd;nd
7321;1.185.866,52 €;nd;nd
24500;1.183.401,66 €;nd;nd
2701;1.178.061,29 €;nd;nd
353288;1.175.828,86 €;nd;nd
INT069;1.174.292,25;nd;nd
56139;1.173.322,45 €;nd;nd
37528;1.171.258,82 €;nd;nd
31536;1.170.979,59 €;nd;nd
7530;1.169.594,17 €;nd;nd
59155;1.158.791,95 €;nd;nd
59156;1.158.791,95 €;nd;nd
39518;1.158.465,37 €;nd;nd
7919;1.149.003,52 €;nd;nd
20745;1.147.261,17 €;nd;nd
349024;1.147.083,43 €;nd;nd
37508;1.142.633,05 €;nd;nd
33508;1.141.901,93 €;nd;nd
12520;1.140.371,26 €;nd;nd
3008;1.140.077,34 €;nd;nd
INT061;1.135.970,78 €;nd;nd
32538;1.132.347,49 €;nd;nd
7501;1.131.181,89 €;nd;nd
20704;1.130.326,69 €;nd;nd
455252;1.122.929,95 €;nd;nd
32554;1.122.661,64 €;nd;nd
454420A;1.119.950,94 €;nd;nd
20901;1.117.390,09 €;nd;nd
35504;1.114.642,09 €;nd;nd
30515;1.112.198,36 €;nd;nd
39511;1.111.238,47 €;nd;nd
353468;1.108.408,13 €;nd;nd
353469;1.108.408,13 €;nd;nd
353409;1.099.222,61 €;nd;nd
40118;1.095.553,41 €;nd;nd
